window_size,sma_window_size,best_silhouette_score,best_count_of_clusters
14,36,0.08225234312373865,2
14,37,0.08036824544045888,2
14,38,0.0801701971068493,2
14,39,0.08296612694390845,20
14,40,0.07809584762439578,39
14,41,0.09403321647198837,2
14,42,0.1158992462789177,2
14,43,0.08251286542416907,2
14,44,0.08244286634701228,2
14,45,0.08168457735015927,2
14,46,0.08109672659605849,2
14,47,0.07958566116854196,2
14,48,0.09030897532360893,40
14,49,0.08517185215263129,13
15,10,0.07871590201203749,2
15,11,0.07687815170917511,2
15,12,0.07706137950288346,2
15,13,0.06792615178010081,12
15,14,0.07652062250120538,2
15,15,0.07556882508620759,2
15,16,0.07058894229479452,12
15,17,0.069934867194878,17
15,18,0.0731775883595064,2
15,19,0.07286133770540708,2
15,20,0.07284264323850122,2
15,21,0.0714053517808856,2
15,22,0.07167627531893303,2
15,23,0.07100291202295399,2
15,24,0.06861644794672168,2
15,25,0.06898829457695653,12
15,26,0.07237179655308754,2
15,27,0.07487203542399334,2
15,28,0.07660172696964032,2
15,29,0.07772628892701164,2
15,30,0.07669154514705803,2
15,31,0.07666874719498283,2
15,32,0.07102360486200646,3
15,33,0.08722330120870413,40
15,34,0.08160754073737873,40
15,35,0.07850654898878297,2
15,36,0.07791600403341194,2
15,37,0.07660942474703959,39
15,38,0.08542167867414682,33
15,39,0.07435606216663658,10
15,40,0.0734064808662428,40
15,41,0.09684889926767967,2
15,42,0.07858905662397903,37
15,43,0.07832681334830233,40
15,44,0.07743224653835425,2
15,45,0.0763147312616564,2
15,46,0.07612686707223555,2
15,47,0.07727596662529966,2
15,48,0.07617336910979705,19
15,49,0.0799761260373304,3
16,10,0.0751034341657505,2
16,11,0.07420477019074745,2
16,12,0.06365610797920015,12
16,13,0.07305728499121104,2
16,14,0.0735440135623362,2
16,15,0.06460473593589867,5
16,16,0.06750076561763907,11
16,17,0.06945832515448697,2
16,18,0.06897800626041502,2
16,19,0.06946782439013026,11
16,20,0.06928952665795808,2
16,21,0.06681832508226807,2
16,22,0.06826249944871521,2
16,23,0.06775380831619135,2
16,24,0.06604646938240838,6
16,25,0.0693071038021478,2
16,26,0.07037115279563422,2
16,27,0.0712111071289689,2
16,28,0.07242566553606175,2
16,29,0.07417631783636447,2
16,30,0.07431266680187563,2
16,31,0.07521245648662131,2
16,32,0.07484127450428549,40
16,33,0.07244300544808237,3
